Timestamp,Have you purchased or are you currently looking to purchase a home?,Scarcity Messaging [Marketing messages showing limited real estate availability make me feel the opportunity may end soon.],"Scarcity Messaging [When a property or unit is advertised as scarce, I feel more motivated to consider it.]",Scarcity Messaging [Messages stating that few units remain increase my interest in the offer.],Scarcity Messaging [Seeing a property promoted as “limited” makes me think it will sell out quickly.],Perceived Urgency [Time-sensitive real estate offers make me feel pressured to make a faster decision.],Perceived Urgency [I feel I might lose the opportunity of buying a property if I do not act quickly.],Perceived Urgency [Marketing messages with deadlines in the real estate industry increase my sense of urgency.],Perceived Urgency [Urgent real estate promotions make me accelerate my decision-making process.],Purchase Intention [I am likely to purchase a property when an offer appears favorable.],"Purchase Intention [If I believe the opportunity of buying a desired property might disappear, I am more willing to commit financially.]",Purchase Intention [I am willing to make a booking or reservation if a “good” offer is available.],Purchase Intention [Scarcity or urgency messages in real estate increase my intention to take purchase-related action.],Age,Gender,Education Level,Education
11/15/2025 21:23,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,26,Male,Doctorate,Bachelor?s Degree
11/15/2025 21:11,Yes,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,39,Male,Master,Bachelor?s Degree
11/15/2025 20:51,Yes,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,41,Male,Doctorate,Bachelor?s Degree
11/15/2025 20:51,Yes,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,51,Male,Master,Bachelor?s Degree
11/15/2025 20:12,Yes,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,42,Male,Other,Bachelor?s Degree
11/15/2025 19:44,Yes,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,38,Male,Doctorate,Bachelor?s Degree
11/15/2025 19:10,Yes,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,61,Female,Other,Bachelor?s Degree
11/15/2025 18:38,Yes,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,45,Male,Other,Bachelor?s Degree
11/15/2025 18:16,Yes,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,60,Female,Other,Bachelor?s Degree
11/15/2025 18:14,Yes,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,28,Male,Master,Bachelor?s Degree
11/15/2025 14:11,Yes,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,59,Female,Bachelor,Bachelor?s Degree
11/15/2025 13:55,Yes,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,48,Male,Other,Bachelor?s Degree
11/15/2025 13:43,Yes,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,34,Male,Other,Bachelor?s Degree
11/15/2025 13:25,Yes,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,40,Male,Bachelor,Bachelor?s Degree
11/15/2025 11:26,Yes,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,57,Male,Other,Bachelor?s Degree
11/15/2025 10:45,Yes,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,31,Male,Bachelor,Bachelor?s Degree
11/15/2025 8:21,Yes,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,63,Male,Master,Bachelor?s Degree
11/15/2025 6:14,Yes,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,45,Male,Bachelor,Bachelor?s Degree
11/15/2025 4:44,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,47,Male,Doctorate,Bachelor?s Degree
11/15/2025 3:49,Yes,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,26,Male,Bachelor,Bachelor?s Degree
11/15/2025 2:08,Yes,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,26,Male,Master,Bachelor?s Degree
11/15/2025 1:13,Yes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,47,Male,Other,Bachelor?s Degree
11/14/2025 23:52,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,42,Female,Bachelor,Bachelor?s Degree
11/14/2025 23:48,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,60,Male,Master,Bachelor?s Degree
11/14/2025 21:03,Yes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,57,Male,Bachelor,Master?s Degree
11/14/2025 18:22,Yes,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,55,Male,Other,Bachelor?s Degree
11/14/2025 17:05,Yes,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,50,Male,Bachelor,Bachelor?s Degree
11/14/2025 16:54,Yes,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,48,Male,Doctorate,Bachelor?s Degree
11/14/2025 14:17,Yes,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,60,Male,Master,Bachelor?s Degree
11/14/2025 11:08,Yes,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,57,Male,Doctorate,Bachelor?s Degree
11/14/2025 10:31,Yes,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,34,Male,Doctorate,Bachelor?s Degree
11/14/2025 9:26,Yes,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,28,Male,Doctorate,Bachelor?s Degree
11/14/2025 6:31,Yes,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,33,Male,Bachelor,Bachelor?s Degree
11/14/2025 6:03,Yes,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,44,Male,Other,Bachelor?s Degree
11/14/2025 4:21,Yes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,55,Male,Bachelor,Bachelor?s Degree
11/14/2025 1:17,Yes,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,54,Male,Other,Master?s Degree
11/14/2025 0:29,Yes,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,37,Male,Master,Bachelor?s Degree
11/13/2025 21:32,Yes,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,27,Male,Master,Bachelor?s Degree
11/13/2025 21:00,Yes,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,28,Male,Master,Bachelor?s Degree
11/13/2025 17:56,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,54,Male,Master,Bachelor?s Degree
11/13/2025 17:41,Yes,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,59,Male,Master,Bachelor?s Degree
11/13/2025 15:49,Yes,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,53,Male,Master,Bachelor?s Degree
11/13/2025 15:43,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,48,Male,Other,Bachelor?s Degree
11/13/2025 15:41,Yes,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,63,Male,Master,Master?s Degree
11/13/2025 15:39,Yes,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,56,Male,Doctorate,Bachelor?s Degree
11/13/2025 15:28,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,34,Male,Master,Bachelor?s Degree
11/13/2025 15:23,Yes,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,33,Male,Master,Bachelor?s Degree
11/13/2025 14:32,Yes,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,55,Male,Other,Bachelor?s Degree
11/13/2025 14:24,Yes,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,64,Male,Bachelor,Bachelor?s Degree
11/13/2025 14:05,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,53,Male,Other,Bachelor?s Degree
11/13/2025 12:43,Yes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,52,Male,Master,Bachelor?s Degree
11/13/2025 10:57,Yes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,31,Male,Bachelor,Bachelor?s Degree
11/13/2025 9:54,Yes,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,60,Female,Bachelor,Bachelor?s Degree
11/13/2025 8:40,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,40,Male,Other,Bachelor?s Degree
11/13/2025 7:39,Yes,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,39,Male,Master,Bachelor?s Degree
11/13/2025 5:31,Yes,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,32,Male,Master,Bachelor?s Degree
11/13/2025 4:40,Yes,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,55,Male,Bachelor,Bachelor?s Degree
11/13/2025 4:40,Yes,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,30,Male,Doctorate,Bachelor?s Degree
11/13/2025 3:15,Yes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,51,Male,Master,Bachelor?s Degree
11/13/2025 0:39,Yes,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,29,Male,Other,Bachelor?s Degree
11/13/2025 0:34,Yes,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,46,Male,Doctorate,Bachelor?s Degree
11/12/2025 22:51,Yes,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,54,Male,Other,Bachelor?s Degree
11/12/2025 22:49,Yes,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,50,Male,Bachelor,Bachelor?s Degree
11/12/2025 22:09,Yes,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Strongly Disagree,50,Male,Bachelor,Bachelor?s Degree
11/12/2025 21:19,Yes,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,44,Male,Doctorate,Bachelor?s Degree
11/12/2025 21:06,Yes,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,37,Male,Doctorate,Bachelor?s Degree
